T,M
0, -0.004
1, -0.016
2, -0.013
3, 0.003
4, 0.018
5, 0.004
6, 0.009
7, 0.008
8, -0.004
9, -0.002
10, -0.012
11, -0.021
12, -0.010
13, -0.002
14, -0.008
15, -0.009
16, 0.010
17, 0.001
18, -0.001
19, -0.002
20, 0.002
21, 0.007
22, 0.009
23, 0.013
24, 0.009
25, 0.019
26, 0.025
27, 0.012
28, 0.015
29, 0.006
30, 0.013
31, 0.013
32, 0.005
33, -0.005
34, 0.001
35, 0.013
36, 0.006
37, 0.012
38, -0.000
39, 0.003
40, 0.011
41, 0.007
42, 0.011
43, 0.017
44, 0.029
45, 0.029
46, 0.028
47, 0.028
48, 0.029
49, 0.026
50, 0.030
51, 0.027
52, 0.022
53, 0.026
54, 0.028
55, 0.035
56, 0.036
57, 0.053
58, 0.063
59, 0.075
60, 0.068
61, 0.062
62, 0.069
63, 0.071
64, 0.070
65, 0.076
66, 0.075
67, 0.082
68, 0.064
69, 0.069
70, 0.069
71, 0.064
72, 0.063
73, 0.072
74, 0.071
75, 0.084
76, 0.085
77, 0.088
78, 0.086
79, 0.093
80, 0.101
81, 0.096
82, 0.101
83, 0.104
84, 0.104
85, 0.106
86, 0.106
87, 0.110
88, 0.116
89, 0.114
90, 0.112
91, 0.108
92, 0.113
93, 0.117
94, 0.121
95, 0.104
96, 0.094
97, 0.097
98, 0.105
99, 0.108
100, 0.111
101, 0.114
102, 0.122
103, 0.124
104, 0.122
105, 0.123
106, 0.134
107, 0.131
108, 0.138
109, 0.139
110, 0.137
111, 0.137
112, 0.147
113, 0.157
114, 0.146
115, 0.149
116, 0.140
117, 0.154
118, 0.162
119, 0.166
120, 0.149
121, 0.139
122, 0.142
123, 0.152
124, 0.151
125, 0.146
126, 0.144
127, 0.138
128, 0.142
129, 0.143
130, 0.145
131, 0.141
132, 0.136
133, 0.126
134, 0.128
135, 0.119
136, 0.120
137, 0.129
138, 0.123
139, 0.131
140, 0.133
141, 0.122
142, 0.125
143, 0.121
144, 0.108
145, 0.111
146, 0.116
147, 0.116
148, 0.113
149, 0.119
150, 0.116
151, 0.122
152, 0.117
153, 0.110
154, 0.106
155, 0.110
156, 0.114
157, 0.113
158, 0.117
159, 0.115
160, 0.109
161, 0.104
162, 0.118
163, 0.119
164, 0.126
165, 0.121
166, 0.126
167, 0.129
168, 0.130
169, 0.140
170, 0.135
171, 0.129
172, 0.119
173, 0.118
174, 0.114
175, 0.116
176, 0.118
177, 0.125
178, 0.119
179, 0.128
180, 0.133
181, 0.130
182, 0.136
183, 0.136
184, 0.144
185, 0.147
186, 0.145
187, 0.141
188, 0.143
189, 0.146
190, 0.146
191, 0.156
192, 0.155
193, 0.149
194, 0.148
195, 0.156
196, 0.148
197, 0.152
198, 0.156
199, 0.154
200, 0.155
201, 0.147
202, 0.155
203, 0.154
204, 0.149
205, 0.153
206, 0.148
207, 0.143
208, 0.142
209, 0.129
210, 0.129
211, 0.128
212, 0.137
213, 0.138
214, 0.127
215, 0.115
216, 0.119
217, 0.120
218, 0.126
219, 0.119
220, 0.115
221, 0.108
222, 0.110
223, 0.116
224, 0.125
225, 0.121
226, 0.128
227, 0.118
228, 0.114
229, 0.116
230, 0.110
231, 0.117
232, 0.117
233, 0.114
234, 0.113
235, 0.104
236, 0.103
237, 0.106
238, 0.101
239, 0.107
240, 0.094
241, 0.096
242, 0.099
243, 0.097
244, 0.104
245, 0.103
246, 0.107
247, 0.112
248, 0.105
249, 0.102
250, 0.109
251, 0.115
252, 0.120
253, 0.126
254, 0.124
255, 0.113
256, 0.116
257, 0.118
258, 0.121
259, 0.121
260, 0.128
261, 0.120
262, 0.125
263, 0.124
264, 0.122
265, 0.123
266, 0.127
267, 0.132
268, 0.134
269, 0.152
270, 0.141
271, 0.134
272, 0.137
273, 0.139
274, 0.133
275, 0.129
276, 0.128
277, 0.116
278, 0.122
279, 0.122
280, 0.124
281, 0.121
282, 0.132
283, 0.137
284, 0.142
285, 0.146
286, 0.146
287, 0.132
288, 0.135
289, 0.121
290, 0.126
291, 0.122
292, 0.114
293, 0.116
294, 0.120
295, 0.132
296, 0.137
297, 0.125
298, 0.115
299, 0.120
300, 0.114
301, 0.125
302, 0.123
303, 0.135
304, 0.125
305, 0.128
306, 0.111
307, 0.123
308, 0.120
309, 0.119
310, 0.117
311, 0.117
312, 0.106
313, 0.097
314, 0.097
315, 0.095
316, 0.106
317, 0.119
318, 0.119
319, 0.128
320, 0.132
321, 0.128
322, 0.133
323, 0.122
324, 0.122
325, 0.120
326, 0.132
327, 0.123
328, 0.121
329, 0.129
330, 0.128
331, 0.118
332, 0.112
333, 0.120
334, 0.110
335, 0.112
336, 0.118
337, 0.120
338, 0.124
339, 0.118
340, 0.115
341, 0.119
342, 0.115
343, 0.117
344, 0.111
345, 0.088
346, 0.088
347, 0.090
348, 0.083
349, 0.087
350, 0.090
351, 0.091
352, 0.086
353, 0.099
354, 0.089
355, 0.096
356, 0.088
357, 0.086
358, 0.079
359, 0.077
360, 0.075
361, 0.083
362, 0.090
363, 0.087
364, 0.095
365, 0.101
366, 0.096
367, 0.093
368, 0.090
369, 0.093
370, 0.101
371, 0.087
372, 0.082
373, 0.071
374, 0.073
375, 0.073
376, 0.066
377, 0.068
378, 0.071
379, 0.065
380, 0.069
381, 0.069
382, 0.058
383, 0.047
384, 0.039
385, 0.041
386, 0.044
387, 0.047
388, 0.045
389, 0.047
390, 0.041
391, 0.035
392, 0.044
393, 0.054
394, 0.050
395, 0.062
396, 0.061
397, 0.056
398, 0.057
399, 0.061
400, 0.065
401, 0.068
402, 0.066
403, 0.065
404, 0.070
405, 0.060
406, 0.060
407, 0.056
408, 0.053
409, 0.050
410, 0.048
411, 0.047
412, 0.041
413, 0.053
414, 0.043
415, 0.051
416, 0.051
417, 0.060
418, 0.070
419, 0.084
420, 0.082
421, 0.080
422, 0.081
423, 0.084
424, 0.092
425, 0.100
426, 0.098
427, 0.090
428, 0.084
429, 0.083
430, 0.092
431, 0.096
432, 0.095
433, 0.096
434, 0.100
435, 0.101
436, 0.096
437, 0.097
438, 0.106
439, 0.102
440, 0.108
441, 0.096
442, 0.105
443, 0.110
444, 0.118
445, 0.116
446, 0.115
447, 0.124
448, 0.131
449, 0.139
450, 0.140
451, 0.130
452, 0.121
453, 0.125
454, 0.116
455, 0.125
456, 0.134
457, 0.121
458, 0.108
459, 0.108
460, 0.111
461, 0.095
462, 0.094
463, 0.093
464, 0.094
465, 0.098
466, 0.085
467, 0.075
468, 0.076
469, 0.079
470, 0.090
471, 0.096
472, 0.085
473, 0.086
474, 0.074
475, 0.078
476, 0.072
477, 0.075
478, 0.079
479, 0.078
480, 0.073
481, 0.077
482, 0.083
483, 0.089
484, 0.090
485, 0.088
486, 0.091
487, 0.088
488, 0.089
489, 0.089
490, 0.089
491, 0.088
492, 0.093
493, 0.091
494, 0.095
495, 0.091
496, 0.096
497, 0.092
498, 0.083
499, 0.079
500, 0.088
501, 0.089
502, 0.087
503, 0.093
504, 0.094
505, 0.095
506, 0.105
507, 0.105
508, 0.106
509, 0.102
510, 0.105
511, 0.100
512, 0.095
513, 0.107
514, 0.104
515, 0.105
516, 0.097
517, 0.087
518, 0.098
519, 0.097
520, 0.092
521, 0.087
522, 0.084
523, 0.072
524, 0.073
525, 0.088
526, 0.077
527, 0.072
528, 0.072
529, 0.076
530, 0.075
531, 0.067
532, 0.071
533, 0.071
534, 0.082
535, 0.081
536, 0.082
537, 0.081
538, 0.083
539, 0.080
540, 0.075
541, 0.072
542, 0.060
543, 0.062
544, 0.052
545, 0.036
546, 0.032
547, 0.015
548, 0.010
549, 0.020
550, 0.026
551, 0.032
552, 0.026
553, 0.026
554, 0.017
555, 0.019
556, 0.018
557, 0.011
558, 0.006
559, 0.015
560, 0.011
561, 0.014
562, 0.020
563, 0.014
564, 0.019
565, 0.018
566, 0.020
567, 0.021
568, 0.020
569, 0.009
570, 0.005
571, -0.002
572, -0.005
573, 0.001
574, -0.008
575, -0.008
576, -0.004
577, -0.008
578, -0.007
579, -0.001
580, 0.007
581, 0.016
582, 0.020
583, 0.021
584, 0.015
585, 0.007
586, 0.004
587, -0.000
588, -0.000
589, -0.003
590, -0.001
591, -0.005
592, -0.003
593, -0.007
594, -0.013
595, -0.007
596, -0.013
597, -0.003
598, -0.009
599, -0.008
600, -0.005
601, -0.002
602, -0.009
603, -0.009
604, -0.010
605, -0.007
606, -0.009
607, -0.007
608, -0.009
609, -0.011
610, -0.018
611, -0.021
612, -0.020
613, -0.021
614, -0.024
615, -0.013
616, -0.005
617, -0.007
618, -0.002
619, 0.001
620, 0.001
621, 0.006
622, -0.003
623, 0.003
624, -0.000
625, 0.005
626, 0.007
627, 0.007
628, 0.002
629, -0.002
630, -0.002
631, -0.001
632, -0.009
633, 0.002
634, -0.005
635, 0.002
636, -0.008
637, -0.003
638, -0.000
639, -0.004
640, -0.003
641, -0.004
642, -0.003
643, -0.006
644, -0.011
645, -0.008
646, 0.005
647, 0.005
648, 0.001
649, -0.004
650, -0.009
651, 0.001
652, 0.002
653, 0.006
654, -0.001
655, 0.000
